iter	Logloss
0	0.1919140266
1	0.06246602676
2	0.03072587125
3	0.01987584558
4	0.01504809564
5	0.01232421401
6	0.01030805301
7	0.00877870898
8	0.007902876298
9	0.006963402212
10	0.006190093793
11	0.005492343228
12	0.005046020799
13	0.004579207423
14	0.004348029001
15	0.003936443444
16	0.003546309241
17	0.003358691314
18	0.003060998182
19	0.003060997484
20	0.003060979036
21	0.002866097361
22	0.002756356392
23	0.002756356392
24	0.002627161678
25	0.002463731927
26	0.002290114615
27	0.002148845829
28	0.002015104201
29	0.001955380527
30	0.001895670069
31	0.001843799683
32	0.001755760665
33	0.001680523904
34	0.001608599629
35	0.001583209303
36	0.001583209097
37	0.001513181491
38	0.001479048513
39	0.001458173359
40	0.001458173083
41	0.001395187585
42	0.001374869635
43	0.001343164467
44	0.001341804993
45	0.001319330241
46	0.00128670053
47	0.001226342168
48	0.001177664645
49	0.001150936456
50	0.001150934588
51	0.001127490976
52	0.001106403638
53	0.00108561914
54	0.001058743563
55	0.001024321771
56	0.001024321632
57	0.0009748216003
58	0.0009748213787
59	0.0009671238202
60	0.0009671227447
61	0.0009352319873
62	0.0009352268848
63	0.0009241175314
64	0.0009156453413
65	0.000915644807
66	0.000904276174
67	0.0009042756588
68	0.0009039613548
69	0.0008796525589
70	0.0008796517214
71	0.0008669271957
72	0.0008669227741
73	0.0008597278402
74	0.0008425028082
75	0.0008336874177
76	0.0008335025193
77	0.0008335000987
78	0.0008277712353
79	0.0008277681402
80	0.0008242948192
81	0.0008083151452
82	0.0008083146513
83	0.0008083144062
84	0.0008083128465
85	0.0008083113041
86	0.0008083027715
87	0.0008083025853
88	0.0007841703431
89	0.0007841670902
90	0.0007841669179
91	0.0007841647828
92	0.0007635175699
93	0.0007635170503
94	0.0007635160817
95	0.0007635100124
96	0.0007635085319
97	0.0007635075618
98	0.0007524773001
99	0.0007524761669
100	0.000752474136
101	0.0007524741262
102	0.0007524730808
103	0.0007524720691
104	0.0007524709207
105	0.0007524697726
106	0.0007524687629
107	0.0007524022244
108	0.0007522913567
109	0.0007522902095
110	0.0007522890626
111	0.0007522888121
112	0.0007522876656
113	0.0007522859527
114	0.0007522783771
115	0.0007522054011
116	0.000752173914
117	0.0007521727674
118	0.0007521691533
119	0.0007521683549
120	0.0007521672083
121	0.0007521626721
122	0.0007521581413
123	0.0007521569968
124	0.0007521569821
125	0.0007521551926
126	0.0007521339517
127	0.000752131689
128	0.0007521294275
129	0.0007521290744
130	0.0007521268144
131	0.0007521245558
132	0.0007521210203
133	0.000752120143
134	0.0007521155742
135	0.0007521110105
136	0.0007521087565
137	0.0007521041997
138	0.0007520918358
139	0.0007520918358
140	0.0007520909626
141	0.0007520905762
142	0.0007520860244
143	0.0007520814775
144	0.0007520772761
145	0.0007520761532
146	0.0007520750307
147	0.0007520746444
148	0.0007520701066
149	0.0007520692364
150	0.000752068115
151	0.0007520636319
152	0.0007520585992
153	0.0007520585992
154	0.0007520582148
155	0.0007520582148
156	0.0007520570951
157	0.0007520562288
158	0.0007520551093
159	0.0007520548932
160	0.0007520548932
161	0.0007520548932
162	0.0007520380762
163	0.0007520231362
164	0.0007520184496
165	0.0007519802205
166	0.000751967302
167	0.000751967302
168	0.0007519650409
169	0.0007519605654
170	0.0007519575918
171	0.0007519553333
172	0.000751953076
173	0.000751953076
174	0.00075195082
175	0.0007519506839
176	0.0007519473405
177	0.000751946511
178	0.0007519442554
179	0.0007519413521
180	0.0007519391992
181	0.0007519380829
182	0.0007519369668
183	0.000751934713
184	0.0007519302528
185	0.0007519276817
186	0.0007519204132
187	0.0007481238819
188	0.0007481227341
189	0.0007293506597
190	0.000719596317
191	0.0007128007535
192	0.0007071291191
193	0.0007071265985
194	0.0006958112377
195	0.000688360355
196	0.0006764725381
197	0.0006764681481
198	0.0006764668695
199	0.0006764655914
200	0.0006764633432
201	0.0006758857419
202	0.0006758776314
203	0.000675875498
204	0.0006758725711
205	0.0006758725711
206	0.0006758705603
207	0.0006758705603
208	0.0006758692165
209	0.0006758672091
210	0.0006758672091
211	0.0006758672091
212	0.0006758662977
213	0.0006758648521
214	0.0006758635927
215	0.0006758628349
216	0.0006758585295
217	0.0006758585295
218	0.0006758585295
219	0.0006758579343
220	0.000675857353
221	0.0006758530597
222	0.0006758525291
223	0.0006758516576
224	0.0006758473757
225	0.000675843375
